LastName;FirstName;University;Faculty;Course;Group;Age;City
Дрофа;Сигитас;Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;Mеханико?математический факультет;3;333;25;Красноярск
Закатнова;Шешун;Рязанский государственный медицинский университет имени академика И.П. Павлова Министерства здравоохранения РФ;Факультет Международных отношений;3;936;22;Рязань
Бомаш;Низами;Национальный исследовательский технологический университет ?МИСиС?;Факультет почвоведения;5;353;18;Москва
Андрончева;Сагила;Национальный исследовательский университет ?Московский институт электронной техники?;Факультет государственного управления;6;267;22;Москва
Бурочкин;Асхаветдын;Омский государственный медицинский университет Министерства здравоохранения РФ;Факультет политологии;1;212;22;Омск
Бревский;Робе;Алтайский государственный технический университет имени И.И. Ползунова;Факультет фундаментальной медицины;6;767;19;Барнаул
Дявлетбаев;Свитлава;Омский государственный медицинский университет Министерства здравоохранения РФ;Факультет лингвистики и межкультурной коммуникации;2;427;23;Омск
Висильев;Абдужапбар;Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского;Биологический факультет;2;425;26;Саратов
Голынников;Будивой;Финансовый университет при Правительстве РФ;Физический факультет;1;813;18;Москва
Головизнина;Баласар;Новосибирский государственный технический университет;Исторический факультет;1;812;26;Новосибирск
Билан;Гумайдат;Южный федеральный университет;Факультет почвоведения;1;212;23;Ростов-На-Дону
Гибайдулин;Айдай;Омский государственный медицинский университет Министерства здравоохранения РФ;Факультет космических исследований;6;265;24;Омск
Бертиев;Поздняк;Казанский государственный медицинский университет Министерства здравоохранения РФ;Факультет иностранных языков и регионоведения;2;427;20;Казань
Анчутина;Патти;Российский университет дружбы народов;Факультет педагогического образования;4;843;20;Москва
Закевский;Хогью;Уральский государственный университет путей сообщения;Факультет финансовой экономики;2;323;20;Екатеринбург
Голигузов;Грация;Национальный исследовательский университет ?Московский институт электронной техники?;Высшая школа бизнеса (факультет);4;847;24;Москва
Видерман;Гальнора;Российский химико-технологический университет им. Д. И. Менделеева;Московская школа экономики (факультет);3;137;19;Москва
Дуненкулова;Ильгамия;Московский государственный лингвистический университет;Факультет иностранных языков и регионоведения;4;941;19;Москва
Змитриенко;Дозен;Уральский гос. горный университет;Европейский учебный институт;4;541;21;Екатеринбург
Алданцева;Дереника;Российский государственный гуманитарный университет;Факультет биоинженерии и биоинформатики;3;933;24;Москва
Голотто;Томар;Санкт-Петербургский государственный экономический университет;Факультет Международных экономических отношений;5;253;26;Санкт-Петербург
Бегнарская;Властилина;Томский государственный педагогический университет;Высшая школа телевидения (факультет);6;464;20;Томск
Василейская;Амимджан;Самарский государственный университет;Факультет педагогического образования;4;946;24;Самара
Зеркаль;Сеитасан;Российский экономический университет имени Г.В. Плеханова;Высшая школа бизнеса (факультет);5;652;26;Москва
Болоцких;Мозер;Воронежский государственный архитектурно-строительный университет;Высшая школа управления и инноваций (факультет);4;645;18;Воронеж
Анфилатова;Аделида;Тюменский государственный университет;Факультет глобальных процессов;3;731;22;Тюмень
Баштавенко;Бахтавор;Дальневосточный федеральный университет;Факультет журналистики;6;164;21;Владивосток
Гобиджшивили;Асмиральда;Томский государственный университет систем управления и радиоэлектроники;Факультет мировой политики;2;821;25;Томск
Годневский;Джовза;Нижегородский государственный университет имени Н.И. Лобачевского.;Факультет политологии;6;262;22;Нижний Новгород
Дорогинская;Фагман;Рязанский государственный медицинский университет имени академика И.П. Павлова Министерства здравоохранения РФ;Факультет искусств;5;754;24;Рязань
Головичева;Ризки;Волгоградский государственный университет;Факультет журналистики;1;315;26;Волгоград
Бвциевская;Апомония;Уфимский государственный нефтяной технический университет;Высшая школа бизнеса (факультет);6;164;19;Уфа
Гиллер-Рожан;Страто;Московский государственный лингвистический университет;Экономический факультет;2;322;18;Москва
Гранкова;Джэксон;Российский химико-технологический университет им. Д. И. Менделеева;Факультет прикладной экономики и коммерции;5;555;22;Москва
Жевнов;Альверын;Российский университет дружбы народов;Факультет Международной журналистики;2;623;25;Москва
Аулов;Женима;Белгородский государственный технологический университет имени В.Г. Шухова;Высшая школа государственного администрирования (факультет);4;146;24;Белгород
Аляутдина;Алиция;Волгоградский государственный университет;Высшая школа перевода (факультет);1;312;26;Волгоград
Доберова;Ядид;Национальный исследовательский Мордовский государственный университет имени Н.П. Огарёва;Факультет биоинженерии и биоинформатики;6;265;20;Саранск
Анищенков;Акхилеш;Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики;Высшая школа инновационного бизнеса (факультет);5;954;18;Санкт-Петербург
Андриянкина;Дюлла;Национальный исследовательский ядерный университет ?МИФИ?;Высшая школа перевода (факультет);5;652;25;Москва
Громадная;Дэйтона;Университет ИТМО;Факультет наук о материалах;4;941;26;Санкт-Петербург
Емлевский;Анизе;Томский государственный педагогический университет;Факультет иностранных языков и регионоведения;3;437;25;Томск
Бурлуцкая;Сена;Российский химико-технологический университет им. Д. И. Менделеева;Высшая школа государственного аудита (факультет);1;812;23;Москва
Домченкова;Равшан;Самарский государственный технический университет;Высшая школа современных социальных наук (факультет);6;961;25;Самара
Алеко;Трини;Российский государственный университет нефти и газа (национальный исследовательский университет) им. И. М. Губкина;Географический факультет;5;257;22;Москва
Выпяжкин;Фаридун;Казанский национальный исследовательский технический университет имени А.Н. Туполева-КАИ;Факультет журналистики;2;821;20;Казань
Бехов;Елианна;Российский государственный университет нефти и газа (национальный исследовательский университет) им. И. М. Губкина;Международно-правовой факультет;1;813;26;Москва
Додокин;Мартерелл;Российский национальный исследовательский медицинский университет им. Н. И. Пирогова;Высшая школа управления и инноваций (факультет);1;412;22;Москва
Вальковой;Азалшо;Национальный исследовательский Московский государственный строительный университет;Институт стран Азии и Африки;1;311;24;Москва
Грувер;Махмутжон;Московский физико-технический институт (государственный университет);Факультет глобальных процессов;3;731;26;Москва
Благошнинов;Бачи;Томский государственный педагогический университет;Факультет прикладной экономики и коммерции;5;654;24;Томск
Висляков;Пендо;Московский физико-технический институт (государственный университет);Факультет космических исследований;3;735;25;Москва
Бозняков;Коррита;Московский технический университет связи и информатики;Биотехнологический факультет;2;721;26;Москва
Бландовцев;Юдит;Национальный исследовательский Мордовский государственный университет имени Н.П. Огарёва;Экономический факультет;1;317;20;Саранск
Забытин;Аманкуль;Национальный исследовательский ядерный университет ?МИФИ?;Высшая школа инновационного бизнеса (факультет);4;544;24;Москва
Гайнаншин;Олександра;Московский государственный университет путей сообщения Императора Николая II;Биотехнологический факультет;2;726;25;Москва
Глаузнер;Евдиния;Ставропольский государственный аграрный университет;Факультет фундаментальной медицины;2;226;23;Ставрополь
Берновская;Сарингуль;Московский государственный юридический университет им. О. Е. Кутафина (МГЮА);Факультет Международного бизнеса и делового администрирования;4;841;20;Москва
Громоковский;Евдоктия;Белгородский государственный национальный исследовательский университет;Высшая школа перевода (факультет);6;862;20;Белгород
Бутурлинцев;Кристафор;Ставропольский государственный аграрный университет;Факультет государственного управления;6;767;18;Ставрополь
Долбитикова;Аликулы;Новосибирский государственный технический университет;Высшая школа современных социальных наук (факультет);1;612;22;Новосибирск
Дабагова;Давида;Российский государственный университет нефти и газа (национальный исследовательский университет) им. И. М. Губкина;Биологический факультет;5;552;26;Москва
Гирькин;Худшияр;Российский национальный исследовательский медицинский университет им. Н. И. Пирогова;Высшая школа инновационного бизнеса (факультет);4;147;22;Москва
Ароцкер;Вэн;Казанский государственный медицинский университет Министерства здравоохранения РФ;Школа бизнеса и международных компетенций;5;951;19;Казань
Верховень;Хинеша;Нижегородский государственный университет имени Н.И. Лобачевского.;Биотехнологический факультет;3;337;23;Нижний Новгород
Букинов;Жюстина;Белгородский государственный национальный исследовательский университет;Экономический факультет;5;153;22;Белгород
Деушева;Аиказ;Самарский гос. аэрокосмический университет имени академика С.П. Королёва (НИУ).;Факультет глобальных процессов;4;147;20;Самара
Вирановская;Хайзия;Белгородский государственный национальный исследовательский университет;Международный институт энергетической политики и дипломатии;3;231;19;Белгород
Атякшева;Алгернон;Университет ИТМО;Факультет глобальных процессов;4;742;19;Санкт-Петербург
Боргардт;Урюпа;Национальный исследовательский Мордовский государственный университет имени Н.П. Огарёва;Биологический факультет;4;943;23;Саранск
Бейманкова;Сёдж;Уральский государственный медицинский университет Министерства здравоохранения РФ;Факультет финансовой экономики;3;937;20;Екатеринбург
Бичеева;Анонсия;Южно-Уральский государственный университет (Национально исследовательский университет);Факультет финансовой экономики;4;342;19;Челябинск
Барщ;Гэдэн;Московский государственный технический университет имени Н.Э. Баумана;Факультет лингвистики и межкультурной коммуникации;6;561;24;Москва
Зайвина;Филиниса;Южно-Уральский государственный университет (Национально исследовательский университет);Высшая школа государственного аудита (факультет);6;566;19;Челябинск
Берназ;Мисаэл;Пермский национальный исследовательский политехнический университет;Юридический факультет;3;231;24;Пермь
Засипкин;Нашван;Всероссийская академия внешней торговли Министерства экономического развития РФ;Факультет педагогического образования;5;451;23;Москва
Безсонна;Кайлин;Санкт-Петербургский политехнический университет Петра Великого;Факультет журналистики;1;714;26;Санкт-Петербург
Аиндинова;Ноах;Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики;Высшая школа телевидения (факультет);3;833;18;Санкт-Петербург
Гачковский;Аннина;Московский государственный лингвистический университет;Факультет лингвистики и межкультурной коммуникации;4;344;26;Москва
Бордадымов;Мойша;Воронежский государственный медицинский университет имени Н.Н. Бурденко Министерства здравоохранения РФ;Факультет наук о материалах;5;154;20;Воронеж
Вилинова;Дододжон;Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики;Институт стран Азии и Африки;2;627;25;Санкт-Петербург
Видманкина;Геронин;Национальный исследовательский университет ?Московский институт электронной техники?;Институт стран Азии и Африки;6;666;24;Москва
Алатеева;Уинньелла;Пермский национальный исследовательский политехнический университет;Факультет политологии;6;965;23;Пермь
Довгополый;Гордан;Белгородский государственный технологический университет имени В.Г. Шухова;Факультет искусств;5;753;26;Белгород
Гоменюк;Томик;Ставропольский государственный аграрный университет;Исторический факультет;2;526;25;Ставрополь
Грицишин;Огоннес;Омский государственный медицинский университет Министерства здравоохранения РФ;Высшая школа государственного администрирования (факультет);6;462;23;Омск
Гребенской;Зибержат;Ставропольский государственный аграрный университет;Факультет финансовой экономики;4;541;24;Ставрополь
Габрильянц;Тути;Белгородский государственный национальный исследовательский университет;Геологический факультет;1;417;18;Белгород
Жеблеенко;Финола;Уфимский государственный нефтяной технический университет;Факультет мировой политики;5;352;19;Уфа
Гутарев-Иванов;Рейнгальд;Воронежский государственный архитектурно-строительный университет;Биологический факультет;5;652;23;Воронеж
Галегова;Аглар;Уральский государственный юридический университет;Географический факультет;2;327;19;Екатеринбург
Бау;Кенжебек;Московский авиационный институт (национальный исследовательский университет);Высшая школа государственного администрирования (факультет);3;436;25;Москва
Анцыперов;Церен;Юго-Западный государственный университет;Международно-правовой факультет;2;827;25;Курск
Вархолева;Февроня;Уральский государственный юридический университет;Факультет мировой политики;2;123;25;Екатеринбург
Валагин;Торранс;Томский государственный университет систем управления и радиоэлектроники;Высшая школа государственного администрирования (факультет);5;753;22;Томск
Дарахонов;Жамиля;Иркутский национальный исследовательский технический университет;Высшая школа управления и инноваций (факультет);3;835;18;Иркутск
Веретиникова;Эшфорд;Российский государственный педагогический университет имени А. И. Герцена;Факультет Международной журналистики;5;453;24;Санкт-Петербург
Землезина;Мушриф;Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики;Геологический факультет;3;735;23;Санкт-Петербург
Безаев;Ленетта;Российская академия народного хозяйства и государственной службы при Президенте РФ;Факультет искусств;6;767;19;Москва
Бетеева;Аллалияр;Российский химико-технологический университет им. Д. И. Менделеева;Факультет государственного управления;4;645;23;Москва
Апярианов;Шем;Самарский государственный университет;Факультет педагогического образования;4;443;18;Самара
Буховская;Намила;Санкт-Петербургский политехнический университет Петра Великого;Экономический факультет;2;127;21;Санкт-Петербург
Акжигидов;Охромей;Московский государственный юридический университет им. О. Е. Кутафина (МГЮА);Факультет психологии;2;521;20;Москва
Дебрянская;Абылай;Рязанский государственный медицинский университет имени академика И.П. Павлова Министерства здравоохранения РФ;Факультет педагогического образования;6;567;25;Рязань
Бекалдиев;Асира;Государственный университет ?Дубна?;Факультет государственного управления;6;763;21;Дубна
Датчук;Амра;Финансовый университет при Правительстве РФ;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);4;446;18;Москва
Балмаева;Гильгамеш;Московский авиационный институт (национальный исследовательский университет);Высшая школа перевода (факультет);3;231;25;Москва
Бахмутова;Гадир;Ижевский государственный технический университет имени М.Т. Калашникова;Факультет мировой политики;2;721;26;Ижевск
Боричев;Амраслан;Российский государственный гуманитарный университет;Высшая школа телевидения (факультет);4;145;22;Москва
Алиатов;Афзалетдин;Казанский национальный исследовательский технологический университет;Физический факультет;5;557;23;Казань
Глыздов;Дейя;Национальный минерально-сырьевой университет ?Горный?;Факультет почвоведения;6;667;20;Санкт-Петербург
Жулего;Рихане;Омский государственный технический университет;Высшая школа перевода (факультет);2;626;25;Омск
Гречкоедова;Аяла;Уральский государственный медицинский университет Министерства здравоохранения РФ;Московская школа экономики (факультет);4;945;21;Екатеринбург
Антонян;Джеймс;Самарский государственный медицинский университет Министерства здравоохранения РФ;Факультет наук о материалах;1;611;22;Самара
Гарицкий;Натиа;Национальный исследовательский технологический университет ?МИСиС?;Институт международных отношений и управления (School of Government and International Affairs);6;561;19;Москва
Анфалова;Охт;Волгоградский государственный технический университет;Факультет космических исследований;2;922;21;Волгоград
Асмаковская;Кастор;Новосибирский национальный исследовательский государственный университет;Юридический факультет;6;666;20;Новосибирск
Дорогокупла;Аннергина;Северо-Восточный федеральный университет им. М. К. Аммосова;Факультет финансовой экономики;5;954;19;Якутск
Вильневчина;Эран;Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;Юридический факультет;5;953;21;Новочеркасск
Гитлинова;Евлалия;Пермский национальный исследовательский политехнический университет;Факультет Международного бизнеса и делового администрирования;3;634;24;Пермь
Байдильдин;Этелла;Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения РФ;Высшая школа государственного администрирования (факультет);6;967;23;Москва
Брагинов;Гоул;Российский государственный гуманитарный университет;Факультет космических исследований;2;925;22;Москва
Аноденко;Водислав;Национальный исследовательский Томский государственный университет;Факультет журналистики;1;415;19;Томск
Баязетян;Аллоис;Саратовский медицинский университет имени В.И. Разумовского Министерства здравоохранения РФ;Физический факультет;3;733;20;Саратов
Анфилатова;Аделида;Южно-Уральский государственный университет (Национально исследовательский университет);Факультет биоинженерии и биоинформатики;4;841;20;Челябинск
Брыксенков;Вольдемар;Северо-Западный Госмедуниверситет им. И.И. Мечникова.;Географический факультет;1;517;22;Санкт-Петербург
Ермолов;Мисей;Санкт-Петербургский государственный экономический университет;Факультет вычислительной математики и кибернетики;4;341;24;Санкт-Петербург
Гуднин;Клауд;Саратовский государственный технический университет имени Гагарина Ю.А.;Геологический факультет;2;722;25;Саратов
Гнатуша;Алихмед;Южно-Уральский государственный университет (Национально исследовательский университет);Химический факультет;4;546;19;Челябинск
Бричаг;Зефирина;Московский государственный технический университет гражданской авиации (МГТУ ГА);Факультет биоинженерии и биоинформатики;4;644;23;Москва
Гибор;Бикен;Воронежский государственный медицинский университет имени Н.Н. Бурденко Министерства здравоохранения РФ;Геологический факультет;2;623;24;Воронеж
Граунова;Револина;Санкт-Петербургский государственный университет;Высшая школа бизнеса (факультет);6;263;21;Санкт-Петербург
Вранич;Тируи;Российский государственный гуманитарный университет;Факультет Международных экономических отношений;2;424;23;Москва
Вавицкая;Ренатас;Национальный минерально-сырьевой университет ?Горный?;Философский факультет;5;553;20;Санкт-Петербург
Боднарук;Парлан;Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики;Европейский учебный институт;3;437;19;Санкт-Петербург
Ан;Рукьи;Воронежский государственный медицинский университет имени Н.Н. Бурденко Министерства здравоохранения РФ;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);5;151;26;Воронеж
Дрешкин;Ильмуханум;Национальный исследовательский Томский государственный университет;Международный институт энергетической политики и дипломатии;6;461;19;Томск
Базиков;Ншан;Самарский государственный медицинский университет Министерства здравоохранения РФ;Высшая школа государственного аудита (факультет);2;727;21;Самара
Васеничев;Папанеш;Юго-Западный государственный университет;Высшая школа государственного администрирования (факультет);5;957;19;Курск
Джанбеков;Ахак;Российский химико-технологический университет им. Д. И. Менделеева;Геологический факультет;3;636;18;Москва
Ерошина;Ашерфе;Волгоградский государственный медицинский университет Министерства здравоохранения РФ;Московская школа экономики (факультет);2;324;21;Волгоград
Зюков;Револина;Уральский государственный юридический университет;Факультет управления и политики;4;247;26;Екатеринбург
Баджакзусян;Ричардин;Балтийский федеральный университет им. Иммануила Канта;Факультет биоинженерии и биоинформатики;6;964;26;Калининград
Баклышкин;Онион;Новосибирский национальный исследовательский государственный университет;Факультет Международных отношений;5;252;21;Новосибирск
Адаева;Милеся;Российский химико-технологический университет им. Д. И. Менделеева;Факультет финансовой экономики;2;322;21;Москва
Веселкова;Латафат;Московский государственный технический университет гражданской авиации (МГТУ ГА);Факультет иностранных языков и регионоведения;6;761;20;Москва
Аниян;Маг;Сибирский федеральный университет;Факультет педагогического образования;6;261;20;Красноярск
Глотик;Амирана;Самарский государственный университет;Факультет государственного управления;6;463;25;Самара
Боршевцев;Соси;Балтийский федеральный университет им. Иммануила Канта;Факультет вычислительной математики и кибернетики;1;116;22;Калининград
Акопян;Клеменс;Московский государственный юридический университет им. О. Е. Кутафина (МГЮА);Высшая школа телевидения (факультет);4;845;26;Москва
Асалин;Африкант;Московский физико-технический институт (государственный университет);Высшая школа телевидения (факультет);2;823;26;Москва
Буторкина;Бабич;Уральский государственный юридический университет;Школа бизнеса и международных компетенций;2;326;24;Екатеринбург
Времечкина;Арчан;Томский государственный университет систем управления и радиоэлектроники;Факультет искусств;1;217;18;Томск
Алмпиева;Хаджара;Российский государственный педагогический университет имени А. И. Герцена;Геологический факультет;5;951;25;Санкт-Петербург
Говоровская;Шейда;Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;Факультет искусств;3;232;19;Красноярск
Геннингсон;Адеб;Российский государственный педагогический университет имени А. И. Герцена;Европейский учебный институт;3;835;21;Санкт-Петербург
Болбекова;Каяхалум;Кубанский государственный технологический университет;Факультет политологии;6;667;26;Краснодар
Жолкова;Эфира;Санкт-Петербургский государственный архитектурно-строительный университет;Факультет мировой политики;3;837;18;Санкт-Петербург
Данькевич;Джастин;Балтийский федеральный университет им. Иммануила Канта;Высшая школа телевидения (факультет);1;811;20;Калининград
Грудицына;Адыль;Национальный исследовательский ядерный университет ?МИФИ?;Географический факультет;1;517;23;Москва
Запарина;Ниязбек;Российский государственный педагогический университет имени А. И. Герцена;Mеханико?математический факультет;5;651;19;Санкт-Петербург
Варновицкая;Эльнира;Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского;Экономический факультет;3;531;24;Саратов
Аргиров;Алемпий;Национальный исследовательский технологический университет ?МИСиС?;Высшая школа государственного аудита (факультет);3;633;26;Москва
Дубуева;Добруся;Волгоградский государственный университет;Биотехнологический факультет;4;144;19;Волгоград
Жито;Ривекка;Новосибирский государственный технический университет;Факультет космических исследований;3;736;26;Новосибирск
Дзекало;Булай;Казанский (Приволжский) федеральный университет;Факультет политологии;2;326;22;Казань
Дорнгой;Гальфрида;Российский национальный исследовательский медицинский университет им. Н. И. Пирогова;Филологический факультет;5;654;26;Москва
Зыдыкин;Фардуня;Московский государственный технологический университет ?СТАНКИН?;Факультет мировой политики;2;326;21;Москва
Замотайлова;Максуд;Сибирский федеральный университет;Факультет наук о материалах;4;641;25;Красноярск
Бабовская;Кашфелмаган;Омский государственный медицинский университет Министерства здравоохранения РФ;Исторический факультет;1;712;20;Омск
Ближникова;Деонизия;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина;Высшая школа современных социальных наук (факультет);3;336;22;Екатеринбург
Даиров;Гретхен;Дальневосточный федеральный университет;Факультет Международного бизнеса и делового администрирования;3;432;24;Владивосток
Бункевич;Шахд;Российский государственный педагогический университет имени А. И. Герцена;Высшая школа перевода (факультет);6;267;21;Санкт-Петербург
Белогорохов;Стёпа;Московский физико-технический институт (государственный университет);Московская школа экономики (факультет);5;653;18;Москва
Аведян;Эдмунда;Московский авиационный институт (национальный исследовательский университет);Международный институт энергетической политики и дипломатии;3;233;26;Москва
Драбкин;Арлан;Национальный исследовательский Мордовский государственный университет имени Н.П. Огарёва;Исторический факультет;3;835;24;Саранск
Гиниятуллин;Балахмед;Новосибирский государственный технический университет;Факультет мировой политики;2;725;25;Новосибирск
Виссарионова;Тавил;Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;Факультет журналистики;3;136;19;Красноярск
